trl;stim1;stim2;stimulus;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;thisRow.t;notes;intro0.started;intro0.stopped;intro1.started;intro1.stopped;intro2.started;intro2.stopped;intro3.started;intro3.stopped;practice_intro.started;practice_intro.stopped;practice_trial.started;button_yes_2.started;button_hint_2.started;button_hint_2.stopped;button_yes_2.stopped;practice_trial.stopped;mouse_track_2.x;mouse_track_2.y;mouse_track_2.leftButton;mouse_track_2.midButton;mouse_track_2.rightButton;mouse_track_2.time;H1_textbox_2.text;RSP_ahhaa_2.response;RSP_ahhaa_2.rt;RSP_ahhaa_2.history;RSP_sudden_2.response;RSP_sudden_2.rt;RSP_sudden_2.history;RSP_pleasant_2.response;RSP_pleasant_2.rt;RSP_pleasant_2.history;practice_rsp.started;practice_object.started;text_2.started;practice_outline.started;practice_object.stopped;practice_rsp.stopped;exp_intro.started;exp_intro.stopped;trial.started;image.started;button_yes.started;button_hint.started;button_hint.stopped;button_yes.stopped;trial.stopped;Version 1;mouse_track.x;mouse_track.y;mouse_track.leftButton;mouse_track.midButton;mouse_track.rightButton;mouse_track.time;H1_textbox.text;mouse1.x_draw;mouse1.y_draw;Clear pressed;RSP_ahhaa.response;RSP_ahhaa.rt;RSP_ahhaa.history;RSP_sudden.response;RSP_sudden.rt;RSP_sudden.history;RSP_pleasant.response;RSP_pleasant.rt;RSP_pleasant.history;Pseudonym*;Age;Gender;date;expName;psychopyVersion;frameRate;expStart;
;;;;;;;;;;0.013872999930754304;1.6518297999864444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;h;h;h;2023-11-14_10h57.59.185;ConstellationsNAI22;2023.2.3;144.26600346480873;2023-11-14 10h58.12.479580 +0200;
;;;;;;;;;;;;1.6518572999630123;4.66088680003304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;h;h;h;2023-11-14_10h57.59.185;ConstellationsNAI22;2023.2.3;144.26600346480873;2023-11-14 10h58.12.479580 +0200;
;;;;;;;;;;;;;;4.660908099962398;7.215644899988547;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;h;h;h;2023-11-14_10h57.59.185;ConstellationsNAI22;2023.2.3;144.26600346480873;2023-11-14 10h58.12.479580 +0200;
;;;;;;;;;;;;;;;;7.2156691999407485;9.785084699979052;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;h;h;h;2023-11-14_10h57.59.185;ConstellationsNAI22;2023.2.3;144.26600346480873;2023-11-14 10h58.12.479580 +0200;
;;;;;;;;;;;;;;;;;;9.785108999931253;28.31644129997585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;h;h;h;2023-11-14_10h57.59.185;ConstellationsNAI22;2023.2.3;144.26600346480873;2023-11-14 10h58.12.479580 +0200;
