trl;stim1;stim2;stim
1;stimuli/airplane_149_11.png;stimuli/airplane_149_11.png;stimuli/airplane_149_11.png
2;stimuli/apple_169_13.png;stimuli/apple_169_13.png;stimuli/apple_169_13.png
3;stimuli/binoculars_169_13.png;stimuli/binoculars_169_13.png;stimuli/binoculars_169_13.png
